"Gender","Birth_Year","Education_Level","Ethnic_Group","Mother_Immigrant","Father_Immigrant","Newspaper","Family_Savings","Class_ID","Vote_Labour"
"Male",1925,"Secondary school","European","Not an immigrant","Not an immigrant","Daily","Save money","Lower Middle Class",1
"Female",1980,"Some university, no degree","Pakeha",NA,"Immigrant","Less than weekly","Save money","Working Class",0
"Male",1989,"Secondary school",NA,"Not an immigrant","Not an immigrant","Less than weekly",NA,"Lower Class",0
"Female",1968,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Working Class",0
"Female",1961,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Immigrant","Daily","Just get by","Working Class",1
"Female",1937,NA,"New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily",NA,NA,1
"Male",1974,"Some university, no degree","European","Not an immigrant","Not an immigrant","Weekly","Spent some savings and borrowed money","Working Class",0
"Male",1968,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Working Class",0
"Female",1944,"University, with degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Daily",NA,"Lower Middle Class",0
"Male",1989,"University, with degree","European","Not an immigrant","Immigrant","Weekly","Save money","Upper middle Class",0
"Female",1950,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Less than weekly",NA,NA,0
"Male",1938,"Some university, no degree","Pakeha","Not an immigrant","Immigrant",NA,"Just get by","Lower Middle Class",0
"Female",1957,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Less than weekly",NA,"Lower Middle Class",0
NA,1956,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Male",1934,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by",NA,NA
"Male",1945,"Secondary school","Pakeha","Not an immigrant",NA,"Daily","Spent some savings and borrowed money","Upper middle Class",1
"Female",1934,"Secondary school","European",NA,NA,"Less than weekly","Just get by","Upper middle Class",0
"Male",1962,"University, with degree","Pakeha","Not an immigrant","Not an immigrant",NA,"Save money","Upper middle Class",0
NA,1949,"Secondary school","New Zealander first, ethnic group second","Immigrant","Not an immigrant","Daily","Spent savings and borrowed money","Upper middle Class",0
"Female",1973,NA,"New Zealander first, ethnic group second","Immigrant","Immigrant","Less than weekly",NA,"Upper middle Class",0
"Male",1974,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Just get by","Lower Middle Class",0
"Male",1976,"Some university, no degree","Pakeha","Not an immigrant","Not an immigrant","Daily",NA,"Lower Middle Class",NA
"Female",1957,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
NA,1985,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Spent savings and borrowed money","Upper middle Class",0
"Female",1947,"Some university, no degree",NA,"Not an immigrant",NA,"Daily","Just get by",NA,1
"Female",1973,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Female",1988,"Secondary school",NA,NA,"Not an immigrant","Daily","Save money","Working Class",0
"Female",1963,"Some university, no degree",NA,NA,"Not an immigrant","Daily","Save money","Upper middle Class",NA
"Male",1977,NA,"New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Save money","Lower Middle Class",0
"Male",1973,"Some university, no degree","New Zealander first, ethnic group second","Immigrant","Not an immigrant","Weekly","Just get by","Working Class",0
"Female",1921,NA,"European","Not an immigrant","Not an immigrant","Daily","Save money",NA,0
"Female",1968,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Spent savings and borrowed money","Lower Middle Class",0
"Male",1991,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money",NA,0
"Female",1950,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Spent some savings and borrowed money","Upper middle Class",0
"Male",1932,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Female",1935,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Immigrant","Daily","Save money","Lower Middle Class",0
"Male",1950,"Secondary school","Maori","Not an immigrant","Not an immigrant","Daily","Save money","Working Class",0
"Female",1977,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Less than weekly","Save money","Upper middle Class",1
"Female",1971,NA,"Pakeha","Not an immigrant","Not an immigrant","Weekly","Just get by","Lower Middle Class",1
"Male",1961,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Save money","Working Class",0
"Male",1955,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by","Working Class",0
"Female",1968,"Some university, no degree",NA,"Not an immigrant",NA,"Less than weekly","Spent some savings and borrowed money","Lower Middle Class",0
"Female",1946,"Secondary school","European","Not an immigrant","Not an immigrant","Weekly","Spent some savings and borrowed money","Lower Middle Class",0
"Female",1951,"University, with degree","European","Not an immigrant",NA,"Daily","Save money","Upper middle Class",0
"Female",1938,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Just get by","Working Class",1
"Female",1971,"University, with degree",NA,NA,NA,"Daily","Just get by","Upper middle Class",1
"Female",1972,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Weekly",NA,NA,0
"Female",1981,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Lower Class",0
"Female",1955,"Some university, no degree","European","Not an immigrant","Not an immigrant","Less than weekly","Spent some savings and borrowed money",NA,1
"Female",NA,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Save money","Lower Middle Class",0
"Female",NA,"University, with degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Daily","Save money",NA,0
"Female",1975,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by",NA,0
"Female",1947,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by","Lower Middle Class",0
NA,1980,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Less than weekly","Just get by",NA,0
"Female",1946,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Working Class",0
"Female",1980,"University, with degree","European","Not an immigrant","Not an immigrant","Daily",NA,"Lower Middle Class",0
"Female",1940,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Just get by","Working Class",1
"Female",1959,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly",NA,NA,0
"Female",1957,"University, with degree","European","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",NA
"Male",1952,"Secondary school","New Zealander first, ethnic group second","Immigrant","Immigrant",NA,NA,"Working Class",NA
"Female",1930,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily",NA,"Working Class",1
"Female",1947,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by",NA,1
"Female",1954,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Save money","Lower Middle Class",0
"Male",NA,"Some university, no degree","New Zealander first, ethnic group second","Immigrant",NA,"Weekly","Spent some savings and borrowed money","Working Class",0
"Female",1955,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Working Class",0
"Male",NA,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",1
"Male",1945,"Secondary school",NA,"Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Male",1959,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Save money","Upper middle Class",0
"Male",1974,"University, with degree","New Zealander first, ethnic group second","Immigrant",NA,"Weekly",NA,"Upper middle Class",NA
NA,1951,"Secondary school","European",NA,"Not an immigrant","Daily","Just get by","Lower Middle Class",1
"Female",1983,"University, with degree","European","Immigrant","Immigrant","Daily","Save money","Upper middle Class",NA
"Female",1980,"University, with degree","European","Not an immigrant","Not an immigrant","Less than weekly",NA,"Upper middle Class",NA
"Female",1940,"Secondary school","European","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Lower Middle Class",0
NA,1973,"University, with degree","Pakeha",NA,"Not an immigrant","Less than weekly","Save money","Lower Middle Class",0
"Female",1931,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by","Upper middle Class",0
"Male",1955,NA,"Pakeha","Not an immigrant","Not an immigrant",NA,"Save money","Lower Middle Class",0
"Female",1945,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by",NA,NA
"Male",1927,"Secondary school",NA,"Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Female",1978,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Immigrant","Less than weekly","Save money","Working Class",0
"Male",1935,"Secondary school","New Zealander first, ethnic group second","Immigrant",NA,"Weekly","Just get by","Lower Class",1
"Male",1970,"Some university, no degree","Pakeha","Not an immigrant","Not an immigrant","Daily","Just get by","Working Class",1
"Female",1992,"Some university, no degree","Pakeha","Not an immigrant","Not an immigrant","Weekly",NA,"Upper middle Class",0
"Female",1961,"University, with degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Weekly","Spent savings and borrowed money",NA,0
"Male",1981,"Secondary school","Maori","Immigrant","Not an immigrant","Weekly","Spent some savings and borrowed money","Working Class",0
"Male",1932,"Some university, no degree",NA,"Not an immigrant",NA,"Daily","Spent some savings and borrowed money","Upper middle Class",0
"Female",1966,"Secondary school","New Zealander first, ethnic group second","Immigrant","Immigrant","Less than weekly","Just get by","Lower Middle Class",1
"Female",1959,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Daily","Save money",NA,1
"Male",NA,"University, with degree","New Zealander first, ethnic group second","Not an immigrant",NA,"Daily","Save money","Upper middle Class",0
"Female",1968,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Spent savings and borrowed money","Lower Middle Class",0
"Female",1970,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Spent savings and borrowed money","Upper middle Class",0
"Male",1949,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Save money","Working Class",0
"Male",1989,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Save money",NA,0
"Female",1962,"University, with degree","New Zealander first, ethnic group second","Immigrant","Not an immigrant",NA,"Save money","Lower Middle Class",NA
"Female",1926,NA,"European","Not an immigrant",NA,"Less than weekly","Save money","Lower Middle Class",0
"Male",1946,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by","Lower Middle Class",0
"Female",1972,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Save money",NA,0
"Female",1933,"Secondary school","Pakeha","Not an immigrant","Immigrant","Daily",NA,NA,0
"Male",1973,"University, with degree",NA,NA,"Not an immigrant","Less than weekly","Just get by","Lower Middle Class",0
"Male",NA,NA,"Pakeha","Not an immigrant","Not an immigrant","Daily",NA,"Working Class",NA
"Female",1925,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Lower Middle Class",1
"Female",1935,"Secondary school","European","Immigrant",NA,"Daily","Just get by",NA,0
"Female",NA,NA,"New Zealander first, ethnic group second",NA,NA,"Daily","Just get by","Lower Middle Class",0
"Female",1984,"Some university, no degree","New Zealander first, ethnic group second",NA,"Not an immigrant","Weekly","Save money","Lower Middle Class",1
"Female",1982,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Less than weekly",NA,"Upper middle Class",0
"Female",1972,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Save money","Upper middle Class",0
"Female",1937,"Secondary school",NA,"Not an immigrant","Not an immigrant","Weekly","Spent some savings and borrowed money","Working Class",0
"Male",1950,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Male",1964,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Spent savings and borrowed money","Working Class",0
"Female",1943,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily",NA,"Lower Middle Class",NA
"Female",1958,"University, with degree","New Zealander first, ethnic group second","Not an immigrant",NA,NA,NA,"Lower Middle Class",0
"Male",1962,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Lower Middle Class",0
"Female",1957,NA,"Pakeha","Not an immigrant","Not an immigrant","Daily",NA,"Lower Middle Class",0
"Male",NA,"Secondary school","New Zealander first, ethnic group second",NA,"Not an immigrant","Less than weekly","Just get by","Working Class",1
"Female",1937,"Secondary school","European","Not an immigrant","Not an immigrant","Daily","Just get by","Working Class",0
"Female",1993,NA,"Maori","Immigrant","Immigrant","Daily",NA,"Upper middle Class",0
"Female",NA,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly",NA,NA,0
"Female",NA,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Weekly","Just get by",NA,1
"Female",1973,"Secondary school","European","Not an immigrant","Not an immigrant","Weekly","Save money",NA,0
"Male",1949,NA,NA,"Not an immigrant","Not an immigrant","Less than weekly","Just get by",NA,NA
"Female",1966,NA,"European","Immigrant","Immigrant","Daily","Just get by","Lower Middle Class",0
"Female",1976,"University, with degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Less than weekly","Spent some savings and borrowed money",NA,1
"Female",1939,"Some university, no degree","Pakeha","Not an immigrant","Not an immigrant",NA,"Just get by",NA,0
"Male",1983,"Some university, no degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Weekly","Just get by",NA,0
"Female",1945,"Some university, no degree","Pakeha","Not an immigrant","Not an immigrant","Weekly","Spent some savings and borrowed money",NA,1
"Male",1960,"Secondary school","New Zealander first, ethnic group second","Not an immigrant",NA,NA,"Just get by","Lower Middle Class",0
"Male",NA,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent savings and borrowed money","Upper middle Class",0
NA,1967,"University, with degree","Pakeha","Immigrant","Not an immigrant","Daily","Just get by","Upper middle Class",0
"Female",1985,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Weekly",NA,"Lower Middle Class",0
"Male",1962,"Secondary school","European","Not an immigrant","Not an immigrant","Daily","Just get by","Lower Middle Class",0
"Female",1941,"Secondary school","European","Immigrant","Not an immigrant","Daily","Just get by",NA,NA
"Male",1936,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Just get by",NA,1
"Female",1984,"University, with degree","European","Not an immigrant","Not an immigrant","Daily","Save money","Lower Middle Class",0
"Male",NA,NA,"New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Spent some savings and borrowed money","Working Class",1
"Female",1930,"Secondary school","Pakeha","Immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Lower Middle Class",0
"Female",NA,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Less than weekly","Just get by","Lower Class",0
"Female",1948,"University, with degree","Maori","Not an immigrant","Not an immigrant","Daily","Spent savings and borrowed money","Upper middle Class",1
"Male",1963,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Spent savings and borrowed money","Working Class",NA
"Female",1935,"Secondary school","Pakeha","Immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Male",1938,"Some university, no degree","European",NA,"Not an immigrant","Weekly","Spent some savings and borrowed money","Working Class",1
"Female",1935,"Secondary school",NA,"Not an immigrant","Not an immigrant","Less than weekly","Save money",NA,NA
"Male",1953,"Some university, no degree","Maori","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Lower Middle Class",0
"Male",1940,"University, with degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Daily","Just get by","Lower Middle Class",1
"Female",1945,NA,"Pakeha","Immigrant","Not an immigrant",NA,"Just get by","Working Class",0
"Male",1981,"Some university, no degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Daily",NA,"Upper middle Class",0
"Male",NA,"Secondary school",NA,"Not an immigrant","Not an immigrant",NA,"Just get by",NA,0
"Male",1950,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by","Working Class",0
"Female",1984,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Save money","Lower Middle Class",0
"Male",1948,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Working Class",0
NA,1923,NA,"European","Not an immigrant","Not an immigrant",NA,"Save money",NA,0
"Male",1970,NA,NA,"Not an immigrant","Not an immigrant","Daily","Just get by","Working Class",0
"Male",NA,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Spent some savings and borrowed money","Working Class",0
"Female",1941,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily",NA,"Lower Middle Class",0
NA,1953,"Secondary school","European","Not an immigrant","Not an immigrant",NA,"Just get by","Working Class",0
"Male",NA,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily",NA,"Upper middle Class",0
"Female",1940,"University, with degree",NA,"Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Upper middle Class",0
"Male",1974,"University, with degree","European","Not an immigrant","Not an immigrant","Less than weekly","Save money","Upper middle Class",0
"Female",1936,"Some university, no degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Less than weekly","Just get by","Lower Middle Class",1
"Male",1956,"University, with degree","European","Not an immigrant","Not an immigrant","Daily","Just get by","Working Class",1
"Female",NA,"Secondary school",NA,"Not an immigrant","Not an immigrant","Less than weekly","Just get by","Lower Middle Class",0
"Male",1939,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Male",1945,"Secondary school","Pakeha","Not an immigrant","Not an immigrant",NA,"Just get by","Working Class",0
"Female",1946,"Secondary school","Maori","Not an immigrant","Not an immigrant","Daily","Just get by",NA,0
"Female",1935,"Secondary school","Pakeha","Not an immigrant",NA,"Daily","Just get by","Working Class",1
"Female",1985,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money",NA,0
"Female",1929,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Less than weekly","Save money","Working Class",1
"Female",1988,"Secondary school","European","Immigrant","Immigrant","Less than weekly","Just get by","Working Class",NA
"Male",1964,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent savings and borrowed money","Lower Middle Class",0
